location,average_cost,minimum_order,rating,votes,delivery_time,is_rating,is_votes,average_cost_cat,minimum_order_less_50,rating_cat,fast,medium,slow,is_bakery_nf_,city_nf_,rating_votes
"Sector 1, Noida",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Noida,0.0
"Delhi Administration Flats, Timarpur",150.0,50.0,2.9,41.0,30 minutes,1,1,0,0,less_3,0,2,0,0,Delhi,4.778282803696736
"Panjetan Colony, Malakpet, Hyderabad",150.0,50.0,3.3,9.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,3.391147045808654
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.7,697.0,45 minutes,1,1,0,0,3_to_3.9,1,4,3,0,Bengaluru,7.855118230410703
"FTI College, Law College Road, Pune",200.0,50.0,3.5,21.0,30 minutes,1,1,0,0,3_to_3.9,0,3,1,0,Pune,4.297285406218791
Majestic,100.0,50.0,4.0,113.0,30 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Bengaluru,6.113682179832232
"Yerawada, Pune, Maharashtra",150.0,50.0,3.7,59.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,5.385870263555899
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.9,39.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,1,Bengaluru,5.024538199265247
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.6,17.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Bengaluru,4.11414718951828
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",300.0,50.0,3.9,64.0,30 minutes,1,1,1,0,3_to_3.9,4,0,0,0,Gurgaon,5.519859636495273
Delhi University-GTB Nagar,250.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,0,1,0,0,Delhi,0.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.5,64.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Gurgaon,5.4116460518550396
"Delhi Administration Flats, Timarpur",250.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,0,1,0,0,Delhi,0.0
"D-Block, Sector 63, Noida",200.0,50.0,3.7,50.0,30 minutes,1,1,0,0,3_to_3.9,2,3,0,0,Noida,5.220355825078324
"D-Block, Sector 63, Noida",150.0,99.0,3.0,318.0,65 minutes,1,1,0,1,3_to_3.9,0,3,0,0,Noida,6.860663671448287
"Delhi High Court, India Gate",400.0,99.0,4.2,368.0,65 minutes,1,1,1,1,greater_equal_4,0,0,1,0,Delhi,7.343167463458253
"Gora Bazar, Rajbari, North Dumdum, Kolkata",100.0,50.0,3.0,13.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Kolkata,3.6635616461296463
Mumbai Central,100.0,50.0,3.2,4.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,2.5494451709255714
Majestic,100.0,50.0,3.6,646.0,45 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Bengaluru,7.751733349244666
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.3,7.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,3.139832617527748
"Sandhurst Road, Mumbai CST Area",300.0,50.0,4.2,305.0,30 minutes,1,1,1,0,greater_equal_4,2,3,0,0,Mumbai,7.155396301896734
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.1,8.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Bengaluru,3.2108436531709366
"Delhi High Court, India Gate",100.0,50.0,3.8,241.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,6.819798000222995
"Chandni Chowk, Kolkata",150.0,50.0,4.1,260.0,45 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Kolkata,6.97166860472579
"Sector 3, Marathalli",300.0,50.0,3.7,572.0,45 minutes,1,1,1,0,3_to_3.9,0,2,2,0,Bengaluru,7.657471811029977
"Sector 1, Noida",200.0,0.0,3.7,684.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,7.836290737272729
"Yerawada, Pune, Maharashtra",150.0,50.0,3.2,13.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Pune,3.728100167267218
Majestic,100.0,50.0,3.3,5.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,2.803360380906535
"Delhi High Court, India Gate",200.0,50.0,3.7,83.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Delhi,5.727173427446777
"Dockyard Road, Mumbai CST Area",150.0,50.0,2.8,4.0,30 minutes,1,1,0,0,less_3,1,3,0,0,Mumbai,2.4159137783010487
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.2,14.0,65 minutes,1,1,0,0,3_to_3.9,1,3,0,0,Gurgaon,3.8022081394209395
"Babarpur, New Delhi, Delhi",50.0,50.0,3.4,16.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,3.996364153861897
"D-Block, Sector 63, Noida",150.0,99.0,3.5,49.0,65 minutes,1,1,0,1,3_to_3.9,2,0,0,0,Noida,5.144583266605995
"Musi Nagar, Malakpet, Hyderabad",150.0,50.0,3.8,385.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,7.288244401020124
"MG Road, Pune",200.0,50.0,3.8,189.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,6.576748081791982
"MG Road, Pune",100.0,50.0,3.7,184.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Pune,6.523268577259165
"D-Block, Sector 63, Noida",200.0,50.0,3.7,40.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,4.997212273764115
"Sector 1, Noida",100.0,50.0,2.9,4.0,30 minutes,1,1,0,0,less_3,3,0,2,0,Noida,2.451005098112319
"Delhi Administration Flats, Timarpur",600.0,50.0,4.2,910.0,45 minutes,1,1,1,0,greater_equal_4,0,2,2,0,Delhi,8.248529124800218
Delhi Cantt.,200.0,50.0,3.9,992.0,45 minutes,1,1,0,0,3_to_3.9,2,3,0,0,Delhi,8.260699660420473
"Jaya Nagar, Saidabad, Hyderabad",50.0,50.0,3.8,382.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,7.280421675338915
"Sector 14, Noida",100.0,50.0,3.4,8.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,3.3032169733019514
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200.0,50.0,3.0,5.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Gurgaon,2.70805020110221
"Chatta Bazaar, Malakpet, Hyderabad",100.0,50.0,4.1,551.0,30 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Hyderabad,7.722721782863177
"Sandhurst Road, Mumbai CST Area",150.0,50.0,2.8,4.0,30 minutes,1,1,0,0,less_3,1,3,0,0,Mumbai,2.4159137783010487
Mumbai Central,100.0,50.0,3.2,40.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,4.852030263919617
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",300.0,99.0,4.1,354.0,65 minutes,1,1,1,1,greater_equal_4,0,3,1,0,Gurgaon,7.280283886844036
"Sandhurst Road, Mumbai CST Area",100.0,50.0,3.3,10.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,3.4965075614664802
"FTI College, Law College Road, Pune",150.0,50.0,4.3,140.0,30 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Pune,6.400257445308821
"Yerawada, Pune, Maharashtra",150.0,50.0,3.9,656.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,7.84713734207969
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.9,81.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Bengaluru,5.7554257078080395
"Sector 63A,Gurgaon",350.0,50.0,3.8,179.0,45 minutes,1,1,1,0,3_to_3.9,0,1,1,0,Gurgaon,6.522386872573095
Mumbai Central,200.0,50.0,3.6,68.0,65 minutes,1,1,0,0,3_to_3.9,2,1,2,0,Mumbai,5.500441550638171
"Babarpur, New Delhi, Delhi",200.0,50.0,3.5,19.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,4.197201947661808
"MG Road, Pune",150.0,50.0,3.6,111.0,30 minutes,1,1,0,0,3_to_3.9,0,2,1,0,Pune,5.990464046774399
Delhi Cantt.,200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Delhi,0.0
"FTI College, Law College Road, Pune",150.0,50.0,3.5,19.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Pune,4.197201947661808
Mumbai Central,300.0,50.0,4.2,305.0,30 minutes,1,1,1,0,greater_equal_4,2,3,0,0,Mumbai,7.155396301896734
Delhi University-GTB Nagar,100.0,50.0,3.4,207.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Delhi,6.5564942248874845
Delhi University-GTB Nagar,100.0,50.0,4.0,389.0,30 minutes,1,1,0,0,greater_equal_4,3,0,0,1,Delhi,7.349873704738337
"Dockyard Road, Mumbai CST Area",100.0,50.0,3.3,24.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,4.37197629882038
"FTI College, Law College Road, Pune",400.0,99.0,3.7,263.0,65 minutes,1,1,1,1,3_to_3.9,0,2,0,0,Pune,6.880486851827944
"Dockyard Road, Mumbai CST Area",150.0,50.0,3.5,6.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,3.044522437723423
"Nathan Road, Mangaldas Road, Pune",200.0,50.0,3.8,126.0,30 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Pune,6.171282973683818
"Delhi Administration Flats, Timarpur",350.0,50.0,3.6,397.0,45 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Delhi,7.264870126149255
"Sector 1, Noida",100.0,50.0,3.2,11.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Noida,3.5610460826040513
"Delhi Administration Flats, Timarpur",500.0,50.0,3.8,90.0,45 minutes,1,1,1,0,3_to_3.9,1,2,1,0,Delhi,5.834810737062605
"Delhi High Court, India Gate",300.0,99.0,4.1,394.0,65 minutes,1,1,1,1,greater_equal_4,0,0,1,0,Delhi,7.387337883008196
"Sector 1, Noida",100.0,50.0,3.5,64.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Noida,5.4116460518550396
"Musi Nagar, Malakpet, Hyderabad",50.0,50.0,3.5,12.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,3.7376696182833684
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,3.1,12.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,3.616308761279101
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.5,13.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,3.817712325956905
"Sector 14, Noida",200.0,50.0,4.1,343.0,45 minutes,1,1,0,0,greater_equal_4,3,0,0,1,Noida,7.248717420876202
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.1,6.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Gurgaon,2.9231615807191558
Majestic,150.0,50.0,4.0,119.0,30 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Bengaluru,6.16541785423142
"Sector 14, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Noida,0.0
"Sector 1, Noida",900.0,450.0,4.2,1262.0,65 minutes,1,1,1,1,greater_equal_4,0,2,1,0,Noida,8.575537568390482
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.6,82.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Bengaluru,5.687653092726317
Delhi Cantt.,100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Delhi,0.0
"Sector 63A,Gurgaon",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,3,0,0,0,Gurgaon,0.0
"Tejas Nagar Colony, Wadala West, Mumbai",200.0,50.0,3.8,521.0,30 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Mumbai,7.590751108485707
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Gurgaon,0.0
Pune University,150.0,50.0,4.0,337.0,30 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Pune,7.206377291472252
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.1,12.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Bengaluru,3.616308761279101
"FTI College, Law College Road, Pune",100.0,50.0,4.6,400.0,45 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Pune,7.517520850603031
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",500.0,50.0,3.9,166.0,65 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Gurgaon,6.472964341492144
"Mico Layout, Stage 2, BTM Layout,Bangalore",350.0,50.0,4.3,497.0,30 minutes,1,1,1,0,greater_equal_4,1,1,1,0,Bengaluru,7.667205048796146
"Sector 1, Noida",200.0,99.0,3.4,37.0,30 minutes,1,1,0,1,3_to_3.9,0,1,0,0,Noida,4.8346933442663405
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,2.9,307.0,45 minutes,1,1,0,0,less_3,0,1,0,0,Bengaluru,6.7915584845796255
"Delhi Administration Flats, Timarpur",150.0,50.0,3.5,8.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Delhi,3.332204510175204
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,0.0,3.4,8.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Bengaluru,3.3032169733019514
"MG Road, Pune",300.0,50.0,3.8,20.0,30 minutes,1,1,1,0,3_to_3.9,0,0,1,0,Pune,4.330733340286331
"Nathan Road, Mangaldas Road, Pune",200.0,50.0,3.4,57.0,65 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Pune,5.266826699456666
"Gora Bazar, Rajbari, North Dumdum, Kolkata",150.0,50.0,3.5,43.0,30 minutes,1,1,0,0,3_to_3.9,1,1,1,0,Kolkata,5.01396308418893
"Tiretti, Kolkata",50.0,99.0,4.4,1512.0,45 minutes,1,1,0,1,greater_equal_4,1,0,0,0,Kolkata,8.802793097663693
"Babarpur, New Delhi, Delhi",200.0,50.0,2.8,7.0,30 minutes,1,1,0,0,less_3,0,1,0,0,Delhi,2.9755295662364714
"D-Block, Sector 63, Noida",450.0,50.0,3.6,119.0,65 minutes,1,1,1,0,3_to_3.9,0,1,1,0,Noida,6.060057338573594
"Sandhurst Road, Mumbai CST Area",250.0,50.0,3.7,189.0,45 minutes,1,1,1,0,3_to_3.9,1,3,0,0,Mumbai,6.5500798347098215
Delhi University-GTB Nagar,150.0,50.0,3.4,43.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,4.9849755473156785
"Yerawada, Pune, Maharashtra",150.0,50.0,3.4,18.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Pune,4.11414718951828
Delhi University-GTB Nagar,150.0,50.0,3.3,32.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,4.659658371272161
"Hyderabad Public School, Begumpet",100.0,50.0,3.7,1.0,30 minutes,1,0,0,0,3_to_3.9,0,1,0,0,Hyderabad,1.308332819650179
"Sector 1, Noida",750.0,99.0,4.2,580.0,45 minutes,1,1,1,1,greater_equal_4,0,3,1,0,Noida,7.798112628829788
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Bengaluru,0.0
"Sector 1, Noida",200.0,50.0,3.6,60.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Noida,5.375278407684165
"Sandhurst Road, Mumbai CST Area",100.0,50.0,3.1,6.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Mumbai,2.9231615807191558
"Sector 1, Noida",200.0,50.0,2.7,564.0,45 minutes,1,1,0,0,less_3,2,0,0,0,Noida,7.3283060245083425
"MG Road, Pune",500.0,50.0,3.1,46.0,30 minutes,1,1,1,0,3_to_3.9,0,2,1,0,Pune,4.960043507980195
Delhi University-GTB Nagar,400.0,50.0,3.9,793.0,45 minutes,1,1,1,0,3_to_3.9,1,2,3,0,Delhi,8.036799774770449
"Sector 1, Noida",200.0,50.0,3.1,19.0,30 minutes,1,1,0,0,3_to_3.9,1,0,1,0,Noida,4.075841090657541
"Sector 1, Noida",200.0,99.0,4.0,1155.0,65 minutes,1,1,0,1,greater_equal_4,2,0,0,0,Noida,8.438149984075784
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200.0,50.0,3.7,71.0,45 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Gurgaon,5.571012696691494
Delhi Cantt.,200.0,50.0,3.9,570.0,45 minutes,1,1,0,0,3_to_3.9,1,0,1,0,Delhi,7.706612913964197
"Sector 14, Noida",150.0,50.0,2.8,38.0,65 minutes,1,1,0,0,less_3,0,1,1,0,Noida,4.667205576907544
"Sandhurst Road, Mumbai CST Area",400.0,50.0,3.4,23.0,30 minutes,1,1,1,0,3_to_3.9,0,1,2,0,Mumbai,4.359269647551265
"Musi Nagar, Malakpet, Hyderabad",150.0,50.0,3.9,76.0,45 minutes,1,1,0,0,3_to_3.9,3,0,0,1,Hyderabad,5.6917098934219315
"Sector 3, Marathalli",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,0,1,0,Bengaluru,0.0
"Sector 1, Noida",150.0,99.0,3.9,261.0,30 minutes,1,1,0,1,3_to_3.9,0,2,0,0,Noida,6.925496960458294
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.5,41.0,30 minutes,1,1,0,0,3_to_3.9,1,3,0,0,Bengaluru,4.966335035199676
"D-Block, Sector 63, Noida",400.0,50.0,4.0,1398.0,45 minutes,1,1,1,0,greater_equal_4,2,1,1,0,Noida,8.629092283913646
"Nathan Road, Mangaldas Road, Pune",200.0,0.0,3.3,1.0,30 minutes,1,0,0,0,3_to_3.9,2,1,0,0,Pune,1.1939224684724346
"Sector 14, Noida",200.0,50.0,3.9,562.0,65 minutes,1,1,0,0,3_to_3.9,3,2,1,0,Noida,7.692478403029292
"Sector 1, Noida",150.0,50.0,3.1,4.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,2.517696472610991
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.8,35.0,30 minutes,1,1,0,0,3_to_3.9,0,0,1,0,Bengaluru,4.890349128221754
Pune University,300.0,50.0,3.3,81.0,45 minutes,1,1,1,0,3_to_3.9,0,1,1,0,Pune,5.588371623144873
"Mico Layout, Stage 2, BTM Layout,Bangalore",600.0,99.0,4.2,3782.0,30 minutes,1,1,1,1,greater_equal_4,0,1,6,0,Bengaluru,9.673092774507726
"Nathan Road, Mangaldas Road, Pune",600.0,50.0,4.2,1114.0,45 minutes,1,1,1,0,greater_equal_4,2,1,2,0,Pune,8.450796945776553
Delhi University-GTB Nagar,100.0,50.0,3.3,11.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,3.591817741270805
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,3.8,280.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,6.96979066990159
Delhi Cantt.,100.0,50.0,3.2,10.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,3.4657359027997265
"Rmz Centennial, I Gate, Whitefield",150.0,50.0,4.5,1118.0,30 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Bengaluru,8.523374050491318
"Chandni Chowk, Kolkata",200.0,50.0,3.8,262.0,45 minutes,1,1,0,0,3_to_3.9,2,2,0,0,Kolkata,6.903345570493437
"Tiretti, Kolkata",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,0,Kolkata,0.0
"Yerawada, Pune, Maharashtra",100.0,0.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,1,0,0,Pune,0.0
"Yerawada, Pune, Maharashtra",150.0,50.0,4.5,425.0,45 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Pune,7.556166565700691
"Yerawada, Pune, Maharashtra",200.0,50.0,3.0,5.0,30 minutes,1,1,0,0,3_to_3.9,5,0,0,0,Pune,2.70805020110221
Delhi University-GTB Nagar,200.0,50.0,3.4,22.0,30 minutes,1,1,0,0,3_to_3.9,2,1,0,0,Delhi,4.314817884980432
"FTI College, Law College Road, Pune",400.0,50.0,3.8,203.0,30 minutes,1,1,1,0,3_to_3.9,0,2,2,0,Pune,6.648207045774128
"MG Road, Pune",100.0,50.0,3.2,45.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,1,Pune,4.969813299576001
"Hyderabad Public School, Begumpet",200.0,50.0,2.5,71.0,45 minutes,1,1,0,0,less_3,1,3,0,0,Hyderabad,5.178970608915471
Delhi University-GTB Nagar,200.0,50.0,3.6,75.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Delhi,5.598421958998375
"Delhi Administration Flats, Timarpur",200.0,50.0,3.8,88.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Delhi,5.812337881210547
"Musi Nagar, Malakpet, Hyderabad",100.0,99.0,3.5,266.0,65 minutes,1,1,0,1,3_to_3.9,0,1,0,0,Hyderabad,6.836259277277067
"Babarpur, New Delhi, Delhi",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Delhi,0.0
"Dockyard Road, Mumbai CST Area",350.0,50.0,3.7,269.0,45 minutes,1,1,1,0,3_to_3.9,2,3,2,0,Mumbai,6.903044199252018
"FTI College, Law College Road, Pune",200.0,50.0,3.3,11.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Pune,3.591817741270805
"Sector 14, Noida",150.0,50.0,3.6,348.0,45 minutes,1,1,0,0,3_to_3.9,4,3,0,1,Noida,7.1331363252365385
"Sector 1, Noida",100.0,99.0,3.0,60.0,45 minutes,1,1,0,1,3_to_3.9,2,0,0,0,Noida,5.19295685089021
"Babarpur, New Delhi, Delhi",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Delhi,0.0
"FTI College, Law College Road, Pune",200.0,50.0,3.2,125.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Pune,5.991464547107982
"Sector 1, Noida",200.0,50.0,3.0,49.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,1,Noida,4.990432586778736
"D-Block, Sector 63, Noida",250.0,50.0,3.3,14.0,30 minutes,1,1,1,0,3_to_3.9,0,1,1,0,Noida,3.832979798087693
Majestic,650.0,50.0,4.6,2858.0,30 minutes,1,1,1,0,greater_equal_4,1,0,3,0,Bengaluru,9.483933661984862
"Delhi Administration Flats, Timarpur",150.0,50.0,3.5,49.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,5.144583266605995
Delhi University-GTB Nagar,400.0,99.0,3.4,130.0,45 minutes,1,1,1,1,3_to_3.9,0,0,2,0,Delhi,6.091309882077698
"FTI College, Law College Road, Pune",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,1,0,Pune,0.0
Majestic,200.0,50.0,4.2,476.0,30 minutes,1,1,0,0,greater_equal_4,1,3,1,0,Bengaluru,7.6005023795207425
Mumbai Central,100.0,50.0,3.3,19.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,4.138361447638875
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100.0,50.0,3.2,9.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Gurgaon,3.3603753871419
"Delhi High Court, India Gate",150.0,50.0,3.6,48.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,5.152134856369956
"D-Block, Sector 63, Noida",100.0,50.0,3.6,221.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,6.679096546979817
"Nathan Road, Mangaldas Road, Pune",350.0,50.0,3.6,124.0,45 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Pune,6.101215411067101
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.2,6.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Gurgaon,2.954910279033736
"Hyderabad Public School, Begumpet",300.0,99.0,4.2,3021.0,65 minutes,1,1,1,1,greater_equal_4,2,2,0,0,Hyderabad,9.448427706675995
Majestic,600.0,50.0,4.3,860.0,65 minutes,1,1,1,0,greater_equal_4,0,1,1,0,Bengaluru,8.21554741194707
"Mico Layout, Stage 2, BTM Layout,Bangalore",300.0,50.0,4.0,338.0,30 minutes,1,1,1,0,greater_equal_4,0,1,1,0,Bengaluru,7.20934025660291
"Tiretti, Kolkata",150.0,50.0,2.8,7.0,30 minutes,1,1,0,0,less_3,0,1,1,0,Kolkata,2.9755295662364714
"MG Road, Pune",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Pune,0.0
"Tiretti, Kolkata",100.0,50.0,3.5,77.0,30 minutes,1,1,0,0,3_to_3.9,2,1,0,0,Kolkata,5.596568390349052
"Sector 1, Noida",200.0,50.0,3.3,68.0,65 minutes,1,1,0,0,3_to_3.9,2,3,0,0,Noida,5.413430173648541
"Babarpur, New Delhi, Delhi",150.0,50.0,3.5,22.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,4.343805421853684
"Sector 3, Marathalli",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,2,0,0,Bengaluru,0.0
"D-Block, Sector 63, Noida",150.0,50.0,3.5,17.0,30 minutes,1,1,0,0,3_to_3.9,2,1,0,0,Noida,4.085976312551584
"Mico Layout, Stage 2, BTM Layout,Bangalore",250.0,50.0,4.1,87.0,30 minutes,1,1,1,0,greater_equal_4,1,0,2,0,Bengaluru,5.876895092364846
"Sector 1, Noida",150.0,50.0,4.4,315.0,30 minutes,1,1,0,0,greater_equal_4,3,1,2,0,Noida,7.234177179749849
"Mico Layout, Stage 2, BTM Layout,Bangalore",500.0,50.0,4.0,588.0,65 minutes,1,1,1,0,greater_equal_4,1,1,2,0,Bengaluru,7.763021309018518
"Sector 63A,Gurgaon",400.0,50.0,4.0,381.0,45 minutes,1,1,1,0,greater_equal_4,0,2,0,0,Gurgaon,7.329093736246592
"Sector 14, Noida",900.0,450.0,4.2,1262.0,65 minutes,1,1,1,1,greater_equal_4,0,2,1,0,Noida,8.575537568390482
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250.0,99.0,3.8,27.0,120 minutes,1,1,1,1,3_to_3.9,3,0,0,1,Gurgaon,4.630837932736669
"FTI College, Law College Road, Pune",100.0,50.0,3.6,60.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Pune,5.375278407684165
"Delhi High Court, India Gate",200.0,50.0,3.0,4.0,30 minutes,1,1,0,0,3_to_3.9,0,1,2,0,Delhi,2.4849066497880004
"Mico Layout, Stage 2, BTM Layout,Bangalore",300.0,50.0,3.6,173.0,65 minutes,1,1,1,0,3_to_3.9,0,2,1,0,Bengaluru,6.434225439959843
"D-Block, Sector 63, Noida",250.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,1,1,0,0,Noida,0.0
